ID1 ID2 kin k0 k2 nsnp relationship
1747711 sim258_fs_off1 sim258_fs_off2 0.240851844662386 0.391209091688374 0.259974220741297 5077 fullsib
1756622 sim259_fs_off1 sim259_fs_off2 0.237026399172187 0.339667349560011 0.240902221847688 5080 fullsib
1765841 sim25_fs_off1 sim25_fs_off2 0.253125637826033 0.28818950212642 0.245511263516091 4947 fullsib
1777228 sim260_fs_off1 sim260_fs_off2 0.261347804581133 0.288795863701658 0.256021303651192 5078 fullsib
1786115 sim261_fs_off1 sim261_fs_off2 0.254494553589064 0.302422131208965 0.271687161323769 4736 fullsib
1794990 sim262_fs_off1 sim262_fs_off2 0.253219718802484 0.340887927856857 0.275882233813433 5284 fullsib
1803853 sim263_fs_off1 sim263_fs_off2 0.242409215839244 0.221681234950538 0.16012963549803 5255 fullsib
1812704 sim264_fs_off1 sim264_fs_off2 0.24858782746945 0.283691982952795 0.233006697896025 4709 fullsib
1821543 sim265_fs_off1 sim265_fs_off2 0.254223374803438 0.169610496670572 0.342538931639532 5079 fullsib
1830370 sim266_fs_off1 sim266_fs_off2 0.25328214128093 0.186416490643984 0.256261574847824 5020 fullsib
1839185 sim267_fs_off1 sim267_fs_off2 0.245785416382694 0.30418499784576 0.218665546718657 4991 fullsib
1847988 sim268_fs_off1 sim268_fs_off2 0.258570297180529 0.0850695271881146 0.160397709055772 5192 fullsib
1856779 sim269_fs_off1 sim269_fs_off2 0.271264573208989 0.237804642210143 0.308231039562706 4970 fullsib
1865898 sim26_fs_off1 sim26_fs_off2 0.228684994389709 0.408762463855616 0.171116928344555 5144 fullsib
1877253 sim270_fs_off1 sim270_fs_off2 0.238139648288172 0.358059922618299 0.321950575552977 5299 fullsib
1886020 sim271_fs_off1 sim271_fs_off2 0.255307275969923 0.32359205160869 0.231388535959915 5301 fullsib
1894775 sim272_fs_off1 sim272_fs_off2 0.277680027620542 0.203642516645646 0.348090544454709 5174 fullsib
1903518 sim273_fs_off1 sim273_fs_off2 0.242777397146452 0.220296539658726 0.274974292735435 5088 fullsib
1912249 sim274_fs_off1 sim274_fs_off2 0.253184443921861 0.3065190357186 0.196879367683711 5212 fullsib
1920968 sim275_fs_off1 sim275_fs_off2 0.246616370274949 0.203430043851571 0.270963135433053 5134 fullsib
1929675 sim276_fs_off1 sim276_fs_off2 0.242621941180519 0.305054756014597 0.293059537294645 5039 fullsib
1938370 sim277_fs_off1 sim277_fs_off2 0.25172994548257 0.272611576637448 0.170019159332237 5179 fullsib
1947053 sim278_fs_off1 sim278_fs_off2 0.264456240759084 0.202240603041083 0.300522366217685 4801 fullsib
1955724 sim279_fs_off1 sim279_fs_off2 0.276401504054072 0.203423023114124 0.321436753509113 4934 fullsib
1964743 sim27_fs_off1 sim27_fs_off2 0.265349580534447 0.153198878826122 0.242518681176147 5289 fullsib
1976066 sim280_fs_off1 sim280_fs_off2 0.238300830266712 0.35664031870126 0.236962961426297 5077 fullsib
1984713 sim281_fs_off1 sim281_fs_off2 0.269391633818491 0.289505529140294 0.311597771651965 5098 fullsib
1993348 sim282_fs_off1 sim282_fs_off2 0.25869674360241 0.169192464549748 0.192712496222191 4954 fullsib
2001971 sim283_fs_off1 sim283_fs_off2 0.2451450871284 0.169958413319114 0.25595801349003 5183 fullsib
2010582 sim284_fs_off1 sim284_fs_off2 0.230567787656555 0.321265979787823 0.275986050867845 5042 fullsib
2019181 sim285_fs_off1 sim285_fs_off2 0.251006130620449 0.255794150851634 0.265564859984039 5239 fullsib
2027768 sim286_fs_off1 sim286_fs_off2 0.263807945242068 0.304884156492753 0.370955411080619 4983 fullsib
2036343 sim287_fs_off1 sim287_fs_off2 0.25850007002492 0.25540204160304 0.336678572019576 5290 fullsib
2044906 sim288_fs_off1 sim288_fs_off2 0.216431014019253 0.220315021224001 0.19894358369848 5057 fullsib
2053457 sim289_fs_off1 sim289_fs_off2 0.249638735340298 0.187642188075727 0.259868380683506 5368 fullsib
2062376 sim28_fs_off1 sim28_fs_off2 0.244952386457403 0.271930643015916 0.286056518460673 5075 fullsib
2073667 sim290_fs_off1 sim290_fs_off2 0.233231608434964 0.289599703739008 0.257862312305563 5276 fullsib
2082194 sim291_fs_off1 sim291_fs_off2 0.269878576296378 0.220481257343163 0.299859980088103 5006 fullsib
2090709 sim292_fs_off1 sim292_fs_off2 0.252828204724836 0.289456536176029 0.299941053581841 5285 fullsib
2099212 sim293_fs_off1 sim293_fs_off2 0.272483381628881 0.170096017076996 0.236168600622011 5222 fullsib
2107703 sim294_fs_off1 sim294_fs_off2 0.24693934343157 0.187320057053413 0.371027066589297 5287 fullsib
2116182 sim295_fs_off1 sim295_fs_off2 0.266367756357457 0.306417036495704 0.28328880838986 5265 fullsib
2124649 sim296_fs_off1 sim296_fs_off2 0.238145019494733 0.255234020861624 0.235554661904698 5097 fullsib
2133104 sim297_fs_off1 sim297_fs_off2 0.247095038488435 0.25567646369315 0.213082113736955 5301 fullsib
2141547 sim298_fs_off1 sim298_fs_off2 0.239135271199786 0.25524791983917 0.21565845690304 5165 fullsib
2149978 sim299_fs_off1 sim299_fs_off2 0.254892606004779 0.186459008970107 0.228584100524094 5129 fullsib
2158797 sim29_fs_off1 sim29_fs_off2 0.258724367129582 0.374202870172203 0.288405758602644 5167 fullsib
2170496 sim2_fs_off1 sim2_fs_off2 0.252760296023239 0.357297418080617 0.182198935664463 5186 fullsib
2182039 sim300_fs_off1 sim300_fs_off2 0.251578539825828 0.254346390290068 0.233503228677362 5085 fullsib
2190446 sim301_fs_off1 sim301_fs_off2 0.262856287920436 0.119282389144559 0.154661655788738 5296 fullsib
2198841 sim302_fs_off1 sim302_fs_off2 0.25454280591783 0.237041356225101 0.187206359923305 4965 fullsib
2207224 sim303_fs_off1 sim303_fs_off2 0.248918751856553 0.220412104670698 0.266755530493237 4878 fullsib
2215595 sim304_fs_off1 sim304_fs_off2 0.241324337523564 0.204153352073054 0.251788604978174 5170 fullsib
2223954 sim305_fs_off1 sim305_fs_off2 0.248979537168291 0.255303697676717 0.289376679038493 5185 fullsib
2232301 sim306_fs_off1 sim306_fs_off2 0.245148724063494 0.221293331073773 0.229836062869552 5182 fullsib
2240636 sim307_fs_off1 sim307_fs_off2 0.267284858614419 0.118888559002138 0.297743778740002 4910 fullsib
2248959 sim308_fs_off1 sim308_fs_off2 0.255232625009754 0.18661576093912 0.292985623961859 5022 fullsib
2257270 sim309_fs_off1 sim309_fs_off2 0.250708642095522 0.271574210269045 0.203507683271862 4979 fullsib
2265989 sim30_fs_off1 sim30_fs_off2 0.224118494018877 0.27153916486234 0.209014542048647 5151 fullsib
2277216 sim310_fs_off1 sim310_fs_off2 0.256143650396056 0.269929373924186 0.235839537631149 4966 fullsib
2285503 sim311_fs_off1 sim311_fs_off2 0.231210283420664 0.204020246746418 0.216877936440656 5074 fullsib
2293778 sim312_fs_off1 sim312_fs_off2 0.247171739902296 0.15326914495304 0.175773630251907 5274 fullsib
2302041 sim313_fs_off1 sim313_fs_off2 0.233381931245057 0.1873249056134 0.255530932933673 5126 fullsib
2310292 sim314_fs_off1 sim314_fs_off2 0.270776304197084 0.0850221099640417 0.222536641963024 5120 fullsib
2318531 sim315_fs_off1 sim315_fs_off2 0.245699182497544 0.254993879208093 0.324456558269 5179 fullsib
2326758 sim316_fs_off1 sim316_fs_off2 0.251252204149451 0.187272391161898 0.306056455275229 5110 fullsib
2334973 sim317_fs_off1 sim317_fs_off2 0.246920455743228 0.266986441738415 0.252877746234997 4579 fullsib
2343176 sim318_fs_off1 sim318_fs_off2 0.268358552633181 0.221446815299973 0.369766767758577 5160 fullsib
2351367 sim319_fs_off1 sim319_fs_off2 0.253773384393936 0.321952106784821 0.259940541808874 5099 fullsib
2359986 sim31_fs_off1 sim31_fs_off2 0.261400562339763 0.288891011513281 0.358213140449467 5186 fullsib
2371181 sim320_fs_off1 sim320_fs_off2 0.260023499337762 0.153296059702092 0.338651246523763 5213 fullsib
2379348 sim321_fs_off1 sim321_fs_off2 0.253276467325589 0.169405251112028 0.211136653073629 4901 fullsib
2387503 sim322_fs_off1 sim322_fs_off2 0.256618207381748 0.184848228380561 0.26532962302766 4857 fullsib
2395646 sim323_fs_off1 sim323_fs_off2 0.239541369083766 0.339616228597518 0.257939062433603 5158 fullsib
2403777 sim324_fs_off1 sim324_fs_off2 0.241185127488367 0.186926270226001 0.19608945423669 5007 fullsib
